imageID,OverallEffort_trimmedMean30,z_score_weighting,COMPLEX_mean,Intresting_mean,DIFFICULT_mean,PAYMENT_mean
306OACM7G04QOX49OC3VEMIMU7KA8L,61.54545455,1.344185186,9.07,8.2,7.87,0.72
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,40.81818182,1.657333064,6.4,10,5.13,0.13
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,45.63636364,1.182050337,9.33,6.13,9.53,0.48
39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,47,0.866040001,7.27,5.8,6.07,0.15
3AA189Q6B51983MEFLORU493K7KMWE,47,1.3515774,6.47,6.8,6.53,0.2
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,27.3,1.648631471,4.43,11.07,4,0.06
3AJ89545NQRFJUS6JU65GFBBEJ7BEW,34.1,0.736111744,5.21,4.14,5.79,0.11
3B9PUZPHFHW5PZT5Q7OV88NG9W6JA5,42.63636364,1.159687518,8.27,3.33,5.67,1.53
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,14.9,1.121052084,0.57,8.36,0.21,0.08
3BGEFHL0JHEL8I3UU0A0G1OJRYOJBS,52.2,1.760711352,9.43,9.14,7.43,0.98
3BK5FW2G6MZ18ENS8D29GOXE9AHRCA,47.63636364,1.402239273,6.33,4.47,8.93,1.68
3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,44.27272727,1.371805577,6.87,10.47,4.4,0.34
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,38.36363636,1.696828356,5.53,11.67,5.53,0.19
3CTCX9NXB5M1LSUM0XPXZV8QE2WLJA,33.63636364,1.231910025,4.53,9.93,4.67,0.24
3CTCX9NXC67QIV0KKFDEFSMCFTJJLN,45.33333333,0.643270291,8.23,9.38,7,6.64
3D00S7P7YG22I1NWJE5APKC40DIEZA,67.36363636,1.419618348,8.67,8.6,6.33,0.61
3D3KZYB03KLUXQ4AWC4FKH86OYE8VD,18.3,1.495631407,3.43,8.5,2.64,0.07
3203J2GC2PK4HSXGZ2GG1073Z7V84O,56.1,1.656897849,6.36,2,5.64,0.51
3D8B00U52IVJZWECZOBXRVFXL2U83O,46.77777778,1.340610612,7.46,3.85,8.08,0.22
3D8B00U52IVJZWECZOBXRVFYHAV833,39.09090909,1.419554675,5.53,3.67,4.87,0.16
3DBJK6OC3AF4JLMP40JUKZIT4XNYF3,52.54545455,1.004970076,7.73,8.67,7.13,0.25
3DECMKXKT815JCLN1RI1KKDJDFAMBB,46.72727273,1.519755483,7.8,9.6,6.47,0.19
3DPZKFEUURUGTQUQB4SOUUG5ZFPI4V,67.5,0.715040017,12,3.07,10.79,0.27
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,38.625,0.160269711,5.2,6.6,5,0.2
3203J2GC2PK4HSXGZ2GG1074VAS84P,44.2,1.546387945,4.93,4.71,5.57,0.46
3DXFGU9SLODY46WA7XIQCVBUTMKEXQ,71.2,1.359075223,7.36,10,6.71,1.8
3EJ1F91ANSU6O8N3S3NGZ4GVCA2IZW,47.8,0.449468703,7.71,9.36,8.36,0.28
3ERG9KP7KAETHL286FNRQ00RYLWCHM,9.727272727,1.312620616,1.2,9.73,1.33,0.1
3EULM6QNGEDGI0DDZ62WA3R8YV4JXB,11,0.32594511,0.92,12.23,0.62,0.03
3F0Z1FPMUNUP6TOTMH2XGS6T5GJLYU,22.27272727,1.488763032,0.8,8.8,1.2,0.07
3F0Z1FPMUNWB7D1EFV5M6IVBAHELYR,52.36363636,1.42195676,5.33,10.87,7.4,0.32
3F2SNR5B8MKSI92Q9DG0FV11BKO0HL,74.3,1.090767635,11.36,7.71,10,0.63
3FOA7RUSUPLLDDXZNITMB1EHL6FPGL,29.54545455,1.109573515,2.07,13.13,2.07,2.09
3FQJF6D1R1SUSJ130G368H5I02G92S,39.6,1.194423215,3.71,3.21,4.14,0.45
3FQJF6D1S2STVEIP11IICRPWDI892M,34,1.483243623,5.73,9.2,5.27,0.09
320GLP60AN6FM9FGZXIOL5AG38941T,48.8,1.193059657,9.71,8,8.57,1.44
3GBCJUK5C2GRHG97MHYVG9NBQMOPK9,19.3,0.533011947,1.36,9.43,1.21,0.05
3GRRK9BQWRDBESRD36S5634M392PD9,90.27272727,1.573039903,13.13,6.53,13,2.01
3GRRK9BQWRPD54OGKFA4YQ8537VPDJ,28.45454545,1.326942654,4.07,11,4,0.18
3GZMSD8U5X9MRGKQIZ546O8UKC795T,48,1.196411409,6.8,3.47,6.27,0.25
323KIQYDLQ7S9UIT4NE6QLFONB14CB,47.55555556,0.841200216,6.62,6.69,7.23,0.16
3GZMSD8U6Y8M82W4VRHXFG1G1IS95R,50,1.391807736,5.64,8.57,5,0.2
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,19.18181818,1.65896629,1.93,9.33,2.8,0.07
3H5CSD5832HNKRNN8SDJ6TWED17E80,26.90909091,1.449961652,2.2,11.73,1.87,0.14
3H5CSD5832HNKRNN8SDJ6TWL583E8G,16.63636364,1.11919211,0.73,9.2,2.07,0.05
3HBZ8AD97D3GZ7VEBIN9M18U9EHNN5,39.36363636,1.647687079,4.8,10,4.47,0.27
3HQI26VRPRS5H4RSBPY2KOCMRQ13R0,37.45454545,1.655460285,3.6,3.67,3.07,0.11
3HVLA9UQN4GKVQOHDHMDH1A7KETU66,88.9,0.498558307,14.79,8.93,13.64,5.53
3HYDIS22CWMMEZBE3G64NG7ZMZON5V,53.45454545,1.447627944,7.33,6.6,9.53,2.32
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,30.18181818,1.140833877,3.6,13.2,2.2,0.17
3I5ZXD44IULX7AZS354F5V5W46GJCA,21.72727273,1.205839432,1.27,11.13,1.33,0.58
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,52,1.529926634,6.2,7.07,7.27,0.4
3I5ZXD44JVHG9J4AOHWFS96B5XBJCP,40,1.472030872,7.93,6.73,5.73,0.76
3ID43DSF5JBJ2SZGW2H8HR9RGRT5G5,20.36363636,1.523177553,2.67,9.4,2.47,0.3
3IE95L92ROOBGIB0W5PPNWUUL5E7M3,17.3,1.482710334,1.43,7.71,1.21,0.06
3IR329NZ7YGB0BGT612CO4BTUIW2K0,46.4,1.436682156,5.14,9.64,4.93,0.8
3IRUE3ZCDH3J5468JOOGJ1Y2ZWZIC5,46.1,0.925435981,5.36,6.21,5.5,0.16
3J06FGISLU272UJU8S9F5O38AK5K50,37.1,1.434809272,4.57,11.29,4.21,0.18
3J06FGISMVRO4EVZMT2NFJ1KME95KI,24.63636364,1.482624516,1.53,13.33,1.33,0.1
3J567DP9LLBDQUW0322ZJ0FWFWZFPB,30.45454545,1.7628973,3,9.27,2.53,0.27
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,57.36363636,1.464462758,9.8,5.73,9.33,0.19
3J5HEGTZRLQ9SE8SW9LZS2A15OXGGI,30.3,1.475554132,5.5,11.79,3.5,0.12
3JGBBKK855Q5HY1J6RVO56S97I9J0I,50.45454545,1.339855466,8.47,8.4,7.33,0.33
3JGLGV9D6KL86TQHYYZCMI0V13JD5Y,20.09090909,1.162390834,2.67,7,2.47,0.07
3K0G5SYN9K0M6D335K10A1FE8RM8MU,66.36363636,1.314558967,9.47,7.93,9.53,0.71
3K0G5SYNALYS7SB8UL3I5RQZNM3M85,51.63636364,1.702850936,7.33,7.4,6.67,0.45
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,35.36363636,1.291973852,4.53,5.4,4.67,0.22
3K27O5FVBZ6Y1U1OKHZVRLOYVIWW5C,41,1.29460519,5.93,10.93,4.53,0.33
3K3X4GGOSLN6JKEE0NBXYD5PSA6MC7,67.7,1.137260003,9.71,4.86,9.93,0.45
3K3X4GGOSLN9WHITSDB41LMDI6SMCK,67.9,1.062830131,10.21,8.57,11.14,2.38
3K9T2ON9ZE5ORLPELXZMHUO84LJMTT,39.18181818,1.230474571,4.6,12.33,3.87,1.21
3KNJI1FZ8L912486RAFQQV3ZEP6NQU,47.09090909,1.376393464,6.6,10.6,6.73,0.41
3L4EWVFWCZFLPLXQZ7MWBK7MU2X9OK,29.7,1.215098265,4,5.14,3.5,0.1
3L8V324VIV0JU2BOPG7PUH68F6NF91,32.54545455,1.184897356,2.27,7.07,2.2,0.13
3L8V324VIVQEQ524CR2N49U2T8GF9N,44.81818182,1.358636171,5,7.33,5.93,0.23
3LBF4GRVWQSB1V8AOKNI47EZJYMDDE,37.2,1.197208418,4.36,9.86,3.93,0.14
3LCM1J6T1CTW3PUN949YD9G6A99CYC,20.27272727,1.484448389,0.93,9.2,1,0.11
3LE9INWSFWFC7U06C7E8H83VJHH0ML,23.3,1.522998613,1.93,13.57,1.64,1.17
3LJE53CC7VYWE1O3MIQ180XM33HESQ,37.9,1.434674034,5.07,7.07,4.07,1.17
3LLXQSS3GH7EI0TIBFCZBVHJURL2FW,49.36363636,1.603765658,8.67,5.47,8.4,0.19
3LV0310AAZ0POAIRABRDV0CJ4TWKD9,32.3,1.21088741,2.93,6.86,4,0.09
3LV0310AAZ5BVL06B1AU1YGZUNKDKM,50.4,1.661366219,5.36,7.43,4.71,1.08
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,16.1,1.393857683,0.93,12.14,0.57,0.25
3LV0310AB0FIJI1LDLADGNAZ3BMKDF,28.72727273,1.398419728,3.53,8.53,2.2,0.1
3M35MA94IX9MX6PXAQCG5JTOJ1HNO3,47,1.335740476,8.47,7.87,6.33,2.23
3M6KHLIXGO95W4HFFOS373KMUDHIRT,59.36363636,1.472749568,7.47,3.53,7.73,0.84
3ME56J5KH09H8MTADW07EI1HZMYC6P,62.36363636,1.741249007,8,5.4,9.4,0.45
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,34.09090909,1.721291943,3.53,9.4,3.53,0.12
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,24,0.454449767,1.36,5.64,1.57,0.09
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,35.63636364,1.398318736,3.73,6.13,3.8,0.16
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,34.72727273,1.582032525,5,10.6,3.67,0.12
3MNYFQMXON9G1T2C2HOQSK4JSIPY01,31.3,1.126067649,3.14,10.36,3.14,0.11
3MQJWSYXNGSYPF0J90X7JRB4GS9O5U,100.9,1.444513686,13.71,6,14.21,32.46
3MQJWSYXOHGDXJ3GAF96UH2KF625OC,70.36363636,1.573280846,10.93,9.8,11.27,1.08
3N9FD9XF48K5Z4R4YKZ4XC3B2YYEVL,42.55555556,1.217538186,6.77,4.31,7,0.35
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,44.3,0.970273435,8.64,8,7.57,0.27
3NCF7G1XJIORLK6VK0UD85LOJVCNAC,60.55555556,0.125541431,11.38,9.23,9.31,0.44
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,32.5,0.944063295,4.21,7.79,4.5,0.12
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP,54.27272727,1.722008039,8.33,6.47,9.93,0.22
3NE6EBGK47BU93BYGGU8IB2LO7NE35,62.4,0.970270332,8.07,13.71,8.07,1.66
3NJ4SYXGOJNVJBRMT3TGCL1CL9UBNQ,42.09090909,1.511825447,5.53,8.47,4,0.55
3NXBKB5598TPF5MRSRS8QPZELKSL9C,49.1,1.441432225,8.14,7.64,6.21,0.34
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,40.09090909,1.60067978,3.6,4.07,2.67,0.34
3OQEO5BIM1SME8SFQJ108NKG2ZKU9F,45.90909091,1.172684185,7,9.53,6.87,0.31
3OQEO5BIN29PS6BYUHRH0ABF87P9UL,68.8,1.538396587,9.93,6.64,9,2.66
3OR6S1RAC52TCC0V5OHKA3WQNHZAGY,55.72727273,1.642549912,8.6,3.73,8.8,0.37
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,30.81818182,1.246780223,5.2,8.27,4.47,0.16
3P6UG6V268Y9VTMB4YR44MFGIGC4NX,28.45454545,1.346131507,3.27,13.6,3.6,3.14
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,26.9,1.073535385,3.93,10.21,3.21,0.09
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,42,1.491053341,7.13,6.6,5.53,0.19
3PLXPMD6WGC7AIQBYMRH2GBAFTWKBJ,43.18181818,0.991581958,5.2,11.93,3.87,0.33
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,32.81818182,1.271241222,4.73,6,4.47,0.08
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,52.6,1.241650828,7.21,5.79,8.43,0.75
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,51.27272727,1.363796975,8.2,6.53,6.6,0.48
3QLL1RLFYUJL8BWXI76KVR6VTA8G40,52.7,1.510559882,8.86,6.29,9.36,0.38
3QNALI7B4SD1ONKL4C5DCUTXSZAZ55,38,1.383130125,5.5,8.5,5.29,0.19
330XZFCZ7RB627L6HWI9543W690TXG,41.81818182,1.761615992,6.47,7.6,6.67,0.14
3R35RPFD8KSAWMKG8PKUBRZ71RYP19,38.7,1.565585804,5.07,12.29,4.43,0.22
3R39EOJX7B7B0RBVIOI0YF8QUNBFFR,30.09090909,1.656332718,3.67,8.13,3.73,0.12
3R39EOJX7BI6S1MO8YC8O4DE709FF7,24.77777778,0.554624535,1.85,11.85,1.69,0.14
3R7DCNC1NO24TFH8BGUHQFOR9KEUDP,55.72727273,1.488108562,11.07,4.6,7.33,1.41
30E2X49V611K26Z0IIHLB47CQY63NG,33.7,1.536617747,3.43,4.93,4.29,0.07
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,47.18181818,0.969116988,6.47,6.07,4.67,0.16
3R8NDUBSE5C5KWKOVCROU8T8BNKK4W,14.54545455,1.421313792,1.27,9.27,1.4,0.14
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,26.45454545,1.678364028,1.73,7.47,2,0.15
3R8NDUBSE5CRYRKXR6M9AB02Z7L4K5,50.8,0.898087829,6.36,9.5,5.86,0.34
3R8NDUBSF67O3EBOSQ1IL6C0CLD4KT,60.54545455,1.382566076,8.27,4.27,9,0.23
3RPY1MM09GJ0DPT9E5P5CCJTRTWMHE,56,1.450444889,8.07,9.2,7.4,0.21
3RRYB8LG3ZH82HFOZGL7ANT68BKKUX,30.54545455,1.698860049,3.93,6.6,3.93,0.11
33FLRCV01N0NF725EJLGLLU8UGYORG,57.8,1.436280504,7,3.57,7.14,0.25
3SBA6YTBY276L0SZ55XU5R7VV8FOBP,46.8,0.677628665,5.14,7.43,6.14,0.23
3SI493PTSWP6VJGGSL9VZHEJP2GDZ2,36.36363636,1.273989417,3.27,7.27,3.6,0.12
3SIEQXXS6F7PLDK653FBMIWP0ADQ4C,41.90909091,1.451722804,3.33,10.33,4.67,0.21
3SJ1BZ9YMZFJKL9JAYIH6SXUEFF7N6,19.09090909,1.450068469,2.13,11.53,1.6,0.54
3T1550FWLKIS93DC7DPTY5M29UHWXP,43.90909091,1.560648459,4.2,7.13,3.67,0.2
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,40,0.89543873,7.21,8.57,6.43,0.21
3T6HLR4BXW65EY3SGXC7I8ILF1889L,38.3,0.969893502,5.43,7.5,6.5,0.36
3T6UNEUZ5USMH6KL5FCL3O350KM199,38.4,0.703384293,5.71,10.07,5.21,0.11
3TFUINTXMP1P2TVK22ZNBIA74UYT95,53.5,0.609785382,8.14,3.5,9.36,0.29
3TFUINTXNQRB8MQUNU8RNTUAF5A9TC,13.45454545,1.398889844,0.93,11.4,0.93,0.1
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,39.09090909,1.767282957,4.67,10.33,3.6,0.12
33RX46D1RXVH625SCIG7UWSYT80X1J,31.72727273,1.627069125,3.2,8.27,3,0.15
3TO8OQV8RRE8TSS50K77OY4BTUOOLO,34.36363636,1.134721038,3.73,9.73,2.6,0.31
3TYSWKZBELVFE846EGCGPUMG5XR7G5,30.5,0.892330459,4.36,12.07,3.93,0.07
3U2H1DGWOPTCKLUQYVRKVZHY3Q4F4G,44,1.648039255,8.6,7.33,6.6,0.25
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,89.54545455,1.583658341,13.93,4.87,14.4,4.04
3U47UEJKWC8E1D3WG0VTNM1UKCYBLF,24,1.039227105,3.77,10.54,1.92,0.06
3U47UEJKXD5R38RUXLMDWG1BUJXLBR,35.63636364,1.559097473,6.13,8.13,5.93,0.14
3U6BJ3K2B9GQGJVT0E99IGFE7I2MEG,50.54545455,1.577749754,6.73,8.73,5.33,0.29
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,47.54545455,1.575162409,6.73,8.07,7.27,0.64
3UKAYM2G38LNW9YPLTZSPTC333T903,45.4,1.511821617,4.29,3.36,5,0.3
3USMLONC9E5MDB1GD7ZQ6SDG14K85P,59.88888889,1.258948966,5.92,2.69,7.31,0.4
3USZNBD0ID5Y2E7UC1NHCD5VH1M51A,38.1,1.616228766,5.07,4.14,4.5,0.12
3UV3KC5DTGMOGZ30EI3U2F567A15CS,50.72727273,1.783822009,9.33,4.47,8.07,0.21
3UXCLCQO1UDWROO910PGOYLD3QJ20A,25.2,1.445630817,2.57,10.71,3.71,0.08
3VHU2SWT3EI2EPQKMFU0IXHUUZKSPE,48.81818182,0.988257928,7.2,6.27,8.2,0.3
3VKCYEEK5GTFPTFE2CSUAPH4AEKG1E,91,1.257237168,16,9.21,14.14,2.69
344RGS4J7S874QSQIPH3B5TQWFPMPU,10.72727273,1.797833103,0.53,6.6,0.4,0.06
3VNGVF6XGJQ1QLT33BZ7QKAQGJTGC8,43.77777778,0.835471608,6.15,6.38,5.23,0.2
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,2.666666667,1.259289685,0,6.54,0.08,0.04
3VS2P0ED9S8WCYR5XKUI3WE62NIZOD,40,0.494420944,7.23,7.08,6.69,0.36
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,28.7,0.75676103,3.43,12.86,2.57,0.27
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,38,0.854328601,6.36,4.43,6.57,0.29
3VXAY8PX9568FZGV4FQLLH1QFO0UBC,37.27272727,1.542128808,5.2,8.8,5.4,0.3
3W718UE9EUVUJGAIW7WCSAJ232S8KV,10.88888889,1.063988701,0.92,8.54,0.69,0.07
3W7EAH4XLRRHWHV8PSJNN5I48Z5K1Z,23.72727273,1.383136427,2.33,9.67,3.73,0.09
3WNTBWVI7IICS3U5SPMYXHW39RR1DW,41.63636364,1.824110499,3.87,11.33,4.8,0.1
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,8.5,0.044320615,0.58,14,2.42,0.13
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,33.45454545,1.494271354,5,6.4,2.73,0.14
3XFOW6US4G39LHGXH58DQK2U59EF7W,39.54545455,1.382575735,6,6.6,6.27,0.18
3XKJYHBF1PGIGZAV82J26HU67K1S94,51.90909091,1.437336636,5.87,4.8,7.93,0.25
34KQN2TBKTGWLIK008X22C5QD2JSAJ,45.18181818,1.296984405,4.47,7.4,5.87,0.21
3XKJYHBF2QXEJ36G795O9QJC5X59SV,22.75,0.293708536,0.58,11.33,0.25,0.09
3XLULPCEJ5A20HTSPHJ11BGOHJ2K00,36,1.27606181,5.79,5.36,6.14,0.18
3XLULPCEK6XSKDKZU2VPQEQSWADK07,33.45454545,1.180021393,5.73,8.4,4.53,0.13
3XOONX5XJ4G5CUJT3GITEEBP8TAR9P,21,1.346733175,2.8,9.53,2.47,0.12
3XQ5ITPVUWC5A41L5RJWP1DP30VQTX,38.6,1.033224093,5.79,7.5,5.29,0.13
3XQ5ITPVVXEK5RIJJ0S4JMU41HATQO,41.72727273,1.058091725,6.13,5.27,6.47,0.28
3YATNUOYWN28VJEWP8MVZLA65TU5R8,47.72727273,1.446149297,7.2,6.87,6,0.23
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,25.7,1.230618795,2.5,8.5,1.93,0.27
3YE2HAAZLWT35EOEU3RFNMQ5RC4ZU3,29.27272727,1.127239306,3.87,8.73,3.4,0.16
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,34.875,0.19988851,3.25,9,1.75,0.38
3YKHA5XMY4LNHWQDYI2RHLTBGR3A75,28.3,1.429080465,3.14,4.21,2.57,12.42
3YS67JKWKBRVDSIQ9F8UVFJ1JQRX40,61.63636364,1.278509161,8.27,6.93,9.8,0.27
3Z1VWDJDMCSL9FEEWY1JWQIRHY8F8V,44,1.19178115,5.6,8.87,4.87,0.35
3Z1VWDJDMCXXDMC10K62ECWQF20F8X,28.81818182,1.45945246,3.13,12.8,3.27,0.07
3Z1VWDJDNDED63DNWYEYK1BZJ9X8FQ,26.6,1.409142681,3,7.29,2.43,0.1
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,5.666666667,1.562274664,0.54,9.08,0.23,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,41.36363636,1.434644274,4.87,3.67,3.4,0.24
3ZFB7PFNY1ZJD1XM4GHBRRAA6GF932,42.1,0.877293978,3.93,5.93,3.79,0.28
30GUUI0R316PRKEN69AJEXY15MMBCT,35.2,1.229152621,3.93,3.86,3.57,0.13
3ZSDUF3VXOXZ44ZW3SE86JT3CR623Z,53.45454545,1.752411988,7.13,5.4,9.47,0.24
3ZXEP6UEFFQUF1V5KFZ2RFEFLM08OQ,43.90909091,1.272496684,7.8,9.07,6.4,0.33
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,42.09090909,1.419178803,4.4,7.27,4.07,0.19
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,48.5,1.523673976,5.5,14.79,3.5,2.17
3589VT1T2BGMXIVHZGNGS492OQIJN8,43.54545455,1.649719599,6.47,6.33,5.6,0.21
35QUA2ABY634ZYN782PTB2BL5I8EGJ,36.90909091,1.438886311,4,6.47,4.87,0.15
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,26.4,1.123695163,3.86,8.79,4.64,0.1
361LJMRMCQ5CDYJ025B6700NV8CUR4,14.1,1.76302845,0.71,9.14,0.43,0.08
36HGGQAXL6L87J29O35QD9YQWSFBVG,27.3,1.435087324,3,12.79,3.14,0.23
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,13.63636364,1.750747251,0.93,9.33,1,0.05
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,46.36363636,1.431392877,5.2,4.8,6.47,0.24
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,64,1.716460836,11.33,9,10.6,0.33
375FCEJV4GX4B1VR293XJCDD0I7CCJ,87.45454545,1.379651728,14.4,4.2,12.87,0.9
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,26,1.542992704,2.8,7.27,2.6,0.06
37672WDDC2JA93V4O46FCCJ2VAJNM9,32.7,0.93453139,2.79,11.79,3.79,0.14
378UBY8FQ61LFCJMHZWZTRZI59A8TB,39.63636364,1.132632093,5,7.67,4.2,0.3
378UBY8FR7AABMKBM232FCEFT60T8E,56.81818182,1.62371406,8.67,9.2,8.33,0.32
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,29.90909091,1.348150156,1.87,11.6,1.4,0.21
31QBDMKNDPO96CGOU6OI3UH1N96L85,68.72727273,1.30129271,10.27,8.07,10.67,1.42
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,29.45454545,1.610391617,3.4,11.33,2.73,0.12
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,49.7,1.178664036,8.21,5.71,8.29,0.31
37ZHE2JT1D250TKIB56TICN73UM88S,50.6,0.807903975,7.57,4.43,6.07,0.51
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,11,1.901800255,0.33,7.8,0.13,0.1
38DNTK7MFN2OC2PZPWU81IIJXME01H,19.27272727,0.868776404,1.2,11.33,1.13,0.14
38DNTK7MFN34LCW85JTSAD2CXFQ01S,33,1.228422135,2.87,6.53,3.87,0.1
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,22.66666667,1.079864665,1.46,9.85,1.38,0.1
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,51.8,1.380962733,8.36,6.86,6.57,0.34
38MNOT6KWIG21RX6PKH1YJB8VKDT05,48.09090909,1.333031601,2.73,7.87,4.13,0.09
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,47.81818182,1.482235593,7.93,9.07,7.13,0.2
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,38.54545455,1.462542688,4.13,4.93,6.33,0.08
38NH2CI7SPCMWUJ4T62C2GD654VVUY,31.75,1.678941262,2.67,9.25,1.83,1.48
394TEHR260P29GUZO0UUQSDZ63O65J,9.909090909,1.207204063,1.13,14.8,0.2,0.03
39UNKKTVDFFX9VEX2EW7RYBUQ2JGYD,41.63636364,1.814531177,4.27,7.73,4.73,0.18
