GroupId,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
306OACM7H14C6NGID3NK0VUX4EK8AH,23,26,193,3.6147540983606556,11,0.05699481865284974
31QBDMKNDPO96CGOU6OI3UH1N96L85,137,65,989,3.2448979591836733,0,0.0
320GLP60AN5TS9K5PU8IGRVPKUZ14P,32,17,395,3.5609348914858097,20,0.05063291139240506
3244QHISJ1ITNE98CFK36E7RG91L0N,14,2,128,4.502673796791444,4,0.03125
330XZFCZ7RB627L6HWI9543W690TXG,25,14,343,4.248704663212435,42,0.12244897959183673
33UIGJTG3O6CYHTVXG83XH6OC4L1ZL,4,3,50,4.348314606741573,3,0.06
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,30,10,318,4.048426150121065,2,0.006289308176100629
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,11,6,74,4.16,16,0.21621621621621623
34KQN2TBKTGWLIK008X22C5QD2JSAJ,468,53,2679,4.958385481852315,23,0.008585293019783502
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,75,8,2309,2.7865685372585096,31,0.013425725422260719
35QUA2ABY634ZYN782PTB2BL5I8EGJ,12,12,112,5.241187384044527,171,1.5267857142857142
361LJMRMCQ5CDYJ025B6700NV8CUR4,19,12,217,4.326923076923077,17,0.07834101382488479
36E5WSNG6I278QJIH33TA8N9JF6S46,12,2,120,4.5773809523809526,1,0.008333333333333333
37672WDDC2JA93V4O46FCCJ2VAJNM9,47,11,237,3.109170305676856,42,0.17721518987341772
378UBY8FR7AABMKBM232FCEFT60T8E,42,37,410,4.011494252873563,0,0.0
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,27,12,229,4.577181208053691,15,0.06550218340611354
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,9,0,212,4.366666666666666,7,0.0330188679245283
389X50RO4VDYCDHURIYQ7760LL5343,27,14,277,4.489669421487603,17,0.061371841155234655
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,28,2,186,2.1023784901758016,36,0.1935483870967742
38IOEK81UIQHG7BFV93TAAEQ3W496W,8,3,211,3.134228187919463,26,0.12322274881516587
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,38,12,377,3.4989690721649485,25,0.06631299734748011
38MNOT6KWIG21RX6PKH1YJB8VKDT05,13,8,91,1.9912790697674418,6,0.06593406593406594
38VQ1AW9T5WCGLEK2ZAP9I6I4O826I,85,38,981,4.56935630099728,43,0.04383282364933741
39393HGTI5QMIY6JHIT1M5IIGWJEOF,22,13,287,4.455118110236221,221,0.7700348432055749
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,66,46,417,3.7004103967168263,18,0.04316546762589928
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,17,2,135,3.695945945945946,11,0.08148148148148149
3BHOG8KFNLAK9AB1ZQLEP6Q0T3RR81,285,137,3797,3.824793388429752,90,0.0237029233605478
3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,14,2,108,3.671641791044776,21,0.19444444444444445
3CTCX9NXC67QIV0KKFDEFSMCFTJJLN,24,20,225,4.036065573770492,10,0.044444444444444446
3D3KZYB03KLUXQ4AWC4FKH86OYE8VD,6,5,64,3.272727272727273,5,0.078125
3DHOXWJRSC3OAPE5AL86OV64DJCT3O,42,37,410,4.011494252873563,0,0.0
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,57,23,496,3.9759358288770055,37,0.07459677419354839
3DXFGU9SLODY46WA7XIQCVBUTMKEXQ,29,20,281,4.309973045822103,12,0.042704626334519574
3EOZAW7619J5YKCNUIDNV84T8098HV,66,29,516,3.9788732394366195,21,0.040697674418604654
3EX6YJ62T6GKTDIQJCCYD4JMD62ZJG,78,57,963,3.9443521594684388,56,0.058151609553478714
3F12ASV6AWHSTTB7IFZKMVGLLVZM46,645,360,3771,3.9229385307346325,78,0.020684168655529037
3F2SNR5B8MKSI92Q9DG0FV11BKO0HL,35,17,272,4.705696202531645,30,0.11029411764705882
3FKD865UZQBJZ4661LLBINGEMFPMUJ,14,18,263,4.416107382550336,82,0.311787072243346
3GAR7VLBJNEKQVA3XEJQ66MZFEXY4T,46,14,380,3.8468354430379748,13,0.034210526315789476
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,17,2,72,3.5652173913043477,15,0.20833333333333334
3GRRK9BQWRDBESRD36S5634M392PD9,137,65,989,3.2448979591836733,0,0.0
3H41Q6XMRNJ731MM548PSMBGOYMG2I,16,10,135,3.952127659574468,21,0.15555555555555556
3HL3WX653BXN6QCFW6M6ATC7KPGPQT,33,30,415,3.9798792756539236,22,0.05301204819277108
3HVLA9UQN4GKVQOHDHMDH1A7KETU66,69,31,614,4.155433287482806,84,0.13680781758957655
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,15,6,220,4.252396166134186,3,0.013636363636363636
3IE95L92ROOBGIB0W5PPNWUUL5E7M3,15,2,142,4.348484848484849,3,0.02112676056338028
3IRUE3ZCDH3J5468JOOGJ1Y2ZWZIC5,29,17,182,4.2571942446043165,40,0.21978021978021978
3J567DP9LLBDQUW0322ZJ0FWFWZFPB,25,12,240,4.168908819133034,98,0.4083333333333333
3K9T2ON9ZE5ORLPELXZMHUO84LJMTT,7,2,57,4.035714285714286,3,0.05263157894736842
3L8V324VIVQEQ524CR2N49U2T8GF9N,46,30,517,3.096237970253718,55,0.10638297872340426
3LBF4GRVWQSB1V8AOKNI47EZJYMDDE,107,58,1174,4.095067905646891,125,0.10647359454855196
3LE9INWSFWFC7U06C7E8H83VJHH0ML,2,2,16,3.236842105263158,9,0.5625
3LLXQSS3GH7EI0TIBFCZBVHJUIM2FF,75,59,983,3.884426229508197,36,0.03662258392675483
3M6KHLIXGO95W4HFFOS373KMUDHIRT,7,1,94,4.0,43,0.4574468085106383
3MHMBB6SGFYXPF5WOO57T0Y1YOLKW9,23,9,167,4.366935483870968,6,0.03592814371257485
3MNPSGWWOQV9GBTQIUTZ7HIZXBCPUY,24,6,174,4.220338983050848,23,0.13218390804597702
3MQJWSYXNGSYPF0J90X7JRB4GS9O5U,102,67,995,3.26578073089701,2,0.0020100502512562816
3MQJWSYXOHGDXJ3GAF96UH2KF625OC,4,1,37,2.1404958677685952,2,0.05405405405405406
3MXFP9RGE565H89AY0KXMF94YTQB2U,8,5,74,3.7698412698412698,3,0.04054054054054054
3NE6EBGK47BU93BYGGU8IB2LO7NE35,39,8,300,3.4662251655629137,18,0.06
3NJ4SYXGOJNVJBRMT3TGCL1CL9UBNQ,16,6,177,3.745644599303136,13,0.07344632768361582
3NXBKB5598TPF5MRSRS8QPZELKSL9C,174,119,1670,4.56158940397351,165,0.09880239520958084
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,14,14,226,4.472,20,0.08849557522123894
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,118,55,2705,3.163350785340314,25,0.009242144177449169
3OEIII5REEYB3LI9CAA7HFS7SP2SM9,4,3,45,4.203947368421052,7,0.15555555555555556
3OQEO5BIN29PS6BYUHRH0ABF87P9UL,26,23,289,4.3944020356234095,9,0.031141868512110725
3PBMWYW3D4VOVNNOVMGLZF23LEGX22,22,12,234,4.014799154334038,46,0.19658119658119658
3PLXPMD6WGC7AIQBYMRH2GBAFTWKBJ,127,63,2378,3.5018537243006405,128,0.05382674516400336
3PUN5J88D6BWB9229VMDW2KVVKYDAM,6,2,82,3.0833333333333335,4,0.04878048780487805
3QG9DTEQILEPY239SAEH66WYFGBWAW,20,7,208,4.302405498281787,7,0.03365384615384615
3QKP95RWR0AXY9I3VQ7SL2A7LGY5XG,80,20,646,4.534375,142,0.21981424148606812
3QLL1RLFYUJL8BWXI76KVR6VTA8G40,22,21,321,3.5083333333333333,27,0.08411214953271028
3QXBZN23LG7N3HYFNCCOI0H4ZPJXNQ,26,7,220,4.242424242424242,4,0.01818181818181818
3R35RPFD7J1GHLW8Y5PUB7E29XSP1C,308,270,5150,3.825573192239859,190,0.036893203883495145
3R35RPFD8KW5RVQQX9OYA2WSE711PN,18,5,185,4.291970802919708,24,0.12972972972972974
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,35,6,308,5.073089700996678,295,0.9577922077922078
3SBA6YTBY276L0SZ55XU5R7VV8FOBP,10,3,70,3.638157894736842,9,0.12857142857142856
3SFRD5IA5Z34MMJO249XJPJMVUHFBF,36,11,301,3.628440366972477,19,0.06312292358803986
3SJ1BZ9YMZFJKL9JAYIH6SXUEFF7N6,24,11,230,4.66358024691358,18,0.0782608695652174
3TR9CMHN3N8E2YCNTAQUMF33CUSBB8,25,7,435,4.220502901353965,14,0.03218390804597701
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,138,65,996,3.249544626593807,4,0.004016064257028112
3U47UEJKWC7M32113CRLFBCBUKFBLV,8,2,66,3.509433962264151,5,0.07575757575757576
3U47UEJKXD5R38RUXLMDWG1BUJXLBR,425,253,5194,3.864448051948052,169,0.032537543319214476
3UEL82N5TO6EUK0Y8E9LV0DUVX2NTJ,35,4,349,3.9679012345679014,35,0.10028653295128939
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,14,2,131,4.726190476190476,0,0.0
3VS2P0ED9S8WCYR5XKUI3WE62NIZOD,86,34,1795,4.759859772129711,110,0.06128133704735376
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,41,27,574,4.072335025380711,1,0.0017421602787456446
3W718UE9EUVUJGAIW7WCSAJ232S8KV,41,16,414,4.435398230088496,16,0.03864734299516908
3WNTBWVI7IICS3U5SPMYXHW39RR1DW,9,1,130,3.502463054187192,13,0.1
3XXLL7ZNZBX2S1C8S0AVX01M47X2SM,16,3,147,2.6940677966101694,25,0.17006802721088435
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,12,7,98,3.4782608695652173,6,0.061224489795918366
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,42,25,572,4.062420382165605,4,0.006993006993006993
3YR6VNT52416IC86SLGIIDTF4TWB78,19,29,231,4.932624113475177,22,0.09523809523809523
3YR6VNT5352GKULNOMVIY5386U67BS,30,9,264,3.8341121495327104,13,0.04924242424242424
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,7,0,54,3.4121621621621623,10,0.18518518518518517
3Z1VWDJDMCXXDMC10K62ECWQF20F8X,42,18,608,3.189153439153439,37,0.06085526315789474
FVQTYRJREL27XZYGVJ9T0T4ZB5RSS,7,2,87,4.1521739130434785,6,0.06896551724137931
